n_robots,seed,arm,pose_rmse,align_rmse,trust_yield,n_delivered
4,21,plus_0.60_5,0.36073702985400025,0.20229466169693086,0.3476056834302671,32
4,22,fifo,0.3884485605692917,0.4112606707538518,0.42406672332972345,32
4,22,bacs_gated,0.43783153483825527,0.27171292170754835,0.3494805307811495,32
4,22,plus_0.30_6,0.3853172383313966,0.2708945525879617,0.29899254763629896,32
4,22,plus_0.60_5,0.38393173978520545,0.2762023170229751,0.3377977556208422,32
4,23,fifo,0.5367150686921904,0.7900727058821931,0.3010749442803936,32
4,23,bacs_gated,0.4809609993121143,0.17083806755238595,0.3472550455921535,32
4,23,plus_0.30_6,0.6171123049363477,0.24463448608401225,0.2938302287901354,32
4,23,plus_0.60_5,0.5675214927546504,0.25451119011407536,0.2606577505481736,32
4,24,fifo,0.5236247463104982,0.25506829407830445,0.5145685575430958,32
4,24,bacs_gated,0.5070111446008024,0.20081938014507497,0.4858711028209598,32
4,24,plus_0.30_6,0.32079521874945216,0.1575509169029432,0.4880274154284024,32
4,24,plus_0.60_5,0.5371919209332541,0.23134508175893492,0.48887249977050906,32
4,25,fifo,0.38517559053135236,0.2352888321372172,0.36980309207505524,32
4,25,bacs_gated,0.30380155967946143,0.33901488567452875,0.2381532283908136,32
4,25,plus_0.30_6,0.39605927034943755,0.24312062026303544,0.22418835415791638,32
4,25,plus_0.60_5,0.2256231429561014,0.32743827933727293,0.25011856831151946,32
4,26,fifo,0.49879064331682677,0.26285615416823077,0.5136918159774106,32
4,26,bacs_gated,0.762085352275139,0.24104630713535827,0.4556830590755152,32
4,26,plus_0.30_6,0.6782487328866013,0.22317930620364254,0.4799573774283266,32
4,26,plus_0.60_5,0.5404881437933496,0.195476482292963,0.41554759111600903,32
4,27,fifo,0.16561942996450818,0.1721402907072255,0.4978463779732019,32
